User,Emp_type,Gate,Gender,Department,Country,Function,Job_ control_point,Scale,Promotions,Intern_Asig,Age,Seniority,Dependents,Job Code,Comparatio,Status
H239342,Regular employee,2,Male,D,Malaysia,Operations Engineering,G3-ESG,19,2,No,32,1,3,K950,0.710526548,Active
H114101,Regular employee,1,Male,B,Thailand,Operations,C1-ESG,4,2,Yes,29,8,1,ZZ03,0.796562553,Active
H114104,Regular employee,1,Male,B,Thailand,Operations,C2-ESG,5,3,Yes,31,8,1,ZZ04,0.870284973,Active
H114564,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,3,No,33,8,0,MV03,1,Active
H217990,Regular employee,2,Male,A,Malaysia,Operations Engineering,LVPE-ESG,20,2,No,38,2,2,L031,1,Active
H240275,CommuterOut-Halco,2,Male,C,Brunei,Operations,F2-ESG,15,1,Yes,53,1,0,PH10,0.576702072,Active
H115452,Regular employee,2,Male,B,Thailand,Operations,F2-ESG,15,2,Yes,34,8,4,ZZ10,1.645644959,Active
H115622,Regular employee,2,Male,B,Thailand,Operations,F2-ESG,15,2,Yes,35,8,3,ZZ10,1.628502896,Active
H221933,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,1,No,36,1,1,DV03,1,Active
H116989,Regular employee,1,Male,G,Malaysia,Operations,C1-ESG,4,3,No,29,7,3,PS03,0.879633639,Active
H117501,Expat-Halco,4,Female,H,Thailand,Sales/Marketing,J3-ESG,28,3,Yes,42,5,0,LG961,0.02669786,Active
H117699,Regular employee,2,Male,A,Vietnam,Operations Engineering,H3-ESG,22,5,Yes,32,7,0,K961,0.493907863,Active
H118649,Regular employee,2,Male,D,India,Operations,E2-ESG,11,3,No,35,7,3,CC06,0.893705435,Active
H118925,Regular employee,2,Male,B,Thailand,Operations,F2-ESG,15,1,No,46,7,2,ZZ10,1.770111778,Active
H120511,Regular employee,2,Male,D,Malaysia,Operations,D2-ESG,8,3,Yes,30,7,0,CW05,0.677427631,Active
H203510,Regular employee,2,Male,B,India,Operations,E2-ESG,11,1,No,31,1,2,ZZ09,0.8997965,Active
H226491,Regular employee,2,Male,A,Thailand,Operations Engineering,LVPE-ESG,20,2,Yes,30,2,0,L032,1,Active
H239059,CommuterOut-Halco,2,Male,C,Brunei,Operations,D2-ESG,8,1,Yes,44,1,0,PH08,0.555387638,Active
H123193,Regular employee,3,Male,I,Malaysia,Sales/Marketing,J3-ESG,28,6,Yes,48,7,3,K056,1.331459552,Active
H123339,Regular employee,1,Male,B,Thailand,Operations,C2-ESG,5,3,Yes,39,7,0,ZZ04,0.734206369,Active
H241769,Regular employee,3,Male,J,India,Operations Engineering,I3-ESG,25,1,No,32,1,0,TF04,1.033948948,Active
H123743,Regular employee,2,Male,B,India,Operations,E2-ESG,11,3,No,33,7,0,ZZ09,0.946878874,Active
H248378,Regular employee,3,Male,J,Malaysia,Operations Engineering,I3-ESG,25,3,Yes,33,0,1,TF04,1.097018891,Active
H233768,Regular employee,2,Male,B,India,Operations,F2-ESG,15,2,Yes,36,0,3,ZZ10,1.273454757,Active
H124251,Regular employee,2,Male,D,Brunei,Operations,D2-ESG,8,1,Yes,41,7,0,CC05,1.246034746,Active
H124413,Regular employee,2,Male,D,Malaysia,Operations,E2-ESG,11,2,Yes,35,7,4,CW06,0.671852817,Active
H127035,Regular employee,5,Male,D,Malaysia,Operations,I3-ESG,25,2,No,52,7,2,R454,1.378138535,Active
H127090,CommuterOut-Halco,2,Male,B,Malaysia,Operations,E2-ESG,11,1,Yes,35,7,0,ZZ09,1.073381848,Active
H129525,Regular employee,2,Male,I,Malaysia,Operations Engineering,VPE-ESG,19,4,Yes,40,7,3,DV02,1,Active
H129152,Regular employee,1,Male,D,Malaysia,Operations,C2-ESG,5,2,Yes,39,7,0,CC04,0.776846249,Active
H129598,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,3,No,36,7,3,DV02,1,Active
H130214,Regular employee,2,Male,B,India,Operations,E2-ESG,11,3,No,28,7,0,ZZ09,1.157556808,Active
H130212,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,3,No,36,7,2,DV02,1,Active
H130844,Regular employee,3,Male,B,India,Operations Engineering,I3-ESG,25,1,No,44,7,3,K940,1.035317494,Active
H130918,Regular employee,2,Male,C,Malaysia,Operations Engineering,H3-ESG,22,3,No,30,7,0,K917,0.670927576,Active
H130934,Regular employee,1,Male,N,South Korea,Operations Engineering,F3-ESG,16,1,No,36,7,0,PP15,0.059785002,Active
H132646,Regular employee,1,Male,B,Malaysia,Operations Engineering,F3-ESG,16,2,Yes,33,7,1,K943,1.049925493,Active
H133784,Regular employee,2,Male,B,India,Operations,E2-ESG,11,3,No,28,7,0,ZZ09,0.592672936,Active
H133887,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,3,No,31,7,1,MV03,1,Active
H241169,CommuterOut-Halco,2,Male,C,Brunei,Operations,F2-ESG,15,2,Yes,46,1,0,PH10,0.576702072,Active
H135451,Regular employee,2,Male,C,Brunei,Operations,D2-ESG,8,6,No,28,7,0,PC08,0.667524892,Active
H236335,Regular employee,2,Male,I,Malaysia,Operations Engineering,VPE-ESG,19,2,Yes,31,1,1,MV03,1,Active
H216385,Regular employee,2,Male,D,India,Operations,D2-ESG,8,1,No,30,2,0,CC05,0.714261675,Active
H135722,Regular employee,2,Male,B,India,Operations Engineering,G3-ESG,19,2,No,30,7,0,K942,0.792269025,Active
H242144,Regular employee,2,Male,A,Malaysia,Operations Engineering,LVPE-ESG,20,1,No,30,1,0,L032,1,Active
H138060,Regular employee,1,Male,G,Malaysia,Operations,C1-ESG,4,2,No,33,7,1,PS03,0.821871433,Active
H138616,Regular employee,2,Male,C,India,Operations,D2-ESG,8,3,No,35,7,0,PC05,0.711467,Active
H138710,Regular employee,2,Female,B,Vietnam,Operations Engineering,G3-ESG,19,2,Yes,30,7,2,K942,0.63665198,Active
H138833,Regular employee,1,Male,C,Brunei,Operations,C2-ESG,5,3,No,41,7,0,PC15,1.941656658,Active
H138832,Regular employee,2,Male,C,Brunei,Operations Engineering,G3-ESG,19,3,Yes,31,7,0,K918,0.691191566,Active
H240630,Regular employee,1,Male,G,India,Operations,C1-ESG,4,1,No,28,1,1,PF03,0.789609042,Active
H139386,Regular employee,1,Male,G,India,Operations,C1-ESG,4,1,No,34,7,1,PF03,1.037983717,Active
H140555,Regular employee,1,Male,G,India,Operations,C2-ESG,5,2,No,31,7,2,PF04,0.752000984,Active
H140290,Regular employee,2,Female,C,Thailand,Operations Engineering,G3-ESG,19,2,Yes,33,6,0,K918,0.703116445,Active
H140494,Regular employee,2,Male,B,India,Operations,E2-ESG,11,2,Yes,35,7,0,ZZ09,1.150902499,Active
H141353,Regular employee,2,Male,C,India,Operations,F2-ESG,15,4,Yes,34,7,1,PC10,0.813464489,Active
H142499,Regular employee,1,Male,G,Malaysia,Operations,C1-ESG,4,3,No,28,6,0,PS03,0.821871433,Active
H143261,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,3,No,38,6,3,DV02,1,Active
H143379,Regular employee,1,Male,B,Vietnam,Operations,C1-ESG,4,1,Yes,30,6,0,ZZ03,0.807657105,Active
H143831,CommuterOut-Halco,2,Male,B,Thailand,Operations,F2-ESG,15,1,Yes,40,6,0,ZZ10,1.191210169,Active
H144415,Regular employee,2,Male,C,India,Operations,E2-ESG,11,2,No,39,6,2,PC09,0.660309874,Active
H178132,Regular employee,1,Male,B,Thailand,Operations,C1-ESG,4,5,No,29,4,0,ZZ03,0.928562254,Active
H144522,Regular employee,2,Male,D,Malaysia,Operations,D2-ESG,8,1,Yes,34,6,3,CW05,0.761291886,Active
H144834,CommuterOut-Halco,2,Male,B,Malaysia,Operations,E2-ESG,11,1,Yes,43,6,1,ZZ09,0.917337223,Active
H144923,Regular employee,2,Male,D,Thailand,Operations Engineering,G3-ESG,19,2,Yes,30,6,2,K950,0.57541332,Active
H145428,CommuterOut-Halco,2,Male,B,Brunei,Operations,E2-ESG,11,1,Yes,46,6,0,ZZ09,0.943128266,Active
H146193,Regular employee,2,Male,G,India,Operations,D2-ESG,8,2,No,36,6,2,PF05,0.730650452,Active
H146195,Regular employee,1,Male,G,India,Operations,C1-ESG,4,2,No,33,6,2,PF03,1.112125411,Active
H192028,Regular employee,1,Male,G,India,Operations,C2-ESG,5,1,Yes,31,2,1,PF04,0.923847135,Active
H147560,Regular employee,1,Male,G,India,Operations,C2-ESG,5,2,Yes,36,6,3,PF04,0.711634314,Active
H148060,Regular employee,2,Male,B,India,Operations Engineering,G3-ESG,19,4,No,29,6,1,K942,0.572245361,Active
H148989,Regular employee,1,Male,G,India,Operations,C1-ESG,4,2,No,31,6,0,PF03,1.00091287,Active
H191666,CommuterOut-Halco,2,Male,C,Brunei,Operations,D2-ESG,8,2,Yes,52,3,0,PC05,0.674814871,Active
H150210,Regular employee,2,Male,J,India,Operations Engineering,G3-ESG,19,2,No,30,6,1,TF02,0.474976234,Active
H152112,CommuterOut-Halco,2,Male,B,Brunei,Operations,D2-ESG,8,1,Yes,33,6,0,ZZ08,0.995258425,Active
H153645,Regular employee,2,Male,H,India,Consulting,H3-ESG,22,1,No,35,6,0,LG136,0.663573829,Active
H153655,Regular employee,1,Male,G,India,Operations,C2-ESG,5,2,Yes,35,6,2,PF04,0.800421492,Active
H236449,Regular employee,1,Female,A,Thailand,Operations Engineering,LVPE-ESG,20,2,No,29,1,0,L033,0.455530668,Active
H225547,Regular employee,1,Male,G,India,Operations,C1-ESG,4,1,No,33,2,0,PF03,0.829089494,Active
H156618,Regular employee,2,Male,B,Thailand,Operations,D2-ESG,8,1,No,30,6,2,ZZ08,1.386999648,Active
H245131,Regular employee,2,Male,B,India,Operations Engineering,G3-ESG,19,1,No,33,1,0,K942,0.820698004,Active
H157473,Regular employee,1,Male,G,India,Operations,C2-ESG,5,2,Yes,36,6,3,PF04,0.804617843,Active
H158183,Regular employee,2,Male,H,India,Consulting,J2-ESG,27,2,No,35,6,0,LG135,0.559738679,Active
H240374,Regular employee,2,Male,G,India,Operations,D2-ESG,8,1,No,29,1,0,PF05,0.7323925,Active
H225942,Regular employee,1,Male,G,India,Operations,C2-ESG,5,1,No,32,2,2,PF04,0.640704838,Active
H216381,Regular employee,2,Male,D,India,Operations,D2-ESG,8,1,No,34,2,0,CC05,0.931645664,Active
H172312,Regular employee,2,Male,G,India,Operations,F2-ESG,15,1,No,35,5,2,PF10,1.466095783,Active
H172369,Regular employee,2,Male,G,India,Operations,D2-ESG,8,1,No,56,5,1,PF05,1.203064539,Active
H172368,Regular employee,1,Male,G,India,Operations,C2-ESG,5,1,No,37,5,1,PF04,1.193253808,Active
H172367,Regular employee,1,Male,G,India,Operations,C2-ESG,5,1,No,40,5,1,PF04,1.199511199,Active
H172366,Regular employee,2,Male,G,India,Operations,D2-ESG,8,1,No,45,5,1,PF05,1.203064539,Active
H172535,Regular employee,2,Male,G,India,Operations,D2-ESG,8,1,No,49,5,1,PF05,1.208447624,Active
H172538,Regular employee,2,Male,C,India,Operations,E2-ESG,11,1,No,51,5,1,PC09,1.572166367,Active
H174090,Regular employee,2,Male,B,India,Operations,E2-ESG,11,3,No,30,5,0,ZZ09,0.603700675,Active
H174923,Regular employee,1,Male,B,Thailand,Operations Engineering,F3-ESG,16,2,Yes,29,5,0,K943,0.613883705,Active
H175093,Regular employee,2,Male,C,India,Operations,F2-ESG,15,1,No,37,5,0,PC10,1.234174596,Active
H175481,Regular employee,1,Male,H,India,Consulting,G3-ESG,19,1,No,34,3,0,LG137,0.643120841,Active
H207943,CommuterOut-Halco,4,Male,J,Malaysia,Operations Engineering,I3-ESG,25,1,Yes,35,2,0,TU15,0.756184641,Active
H243249,Regular employee,1,Female,A,Malaysia,Operations Engineering,LVPE-ESG,20,1,No,26,1,0,L033,1,Active
H178598,Regular employee,1,Male,B,Thailand,Operations,C1-ESG,4,4,No,26,4,0,ZZ03,0.935274917,Active
H180833,Regular employee,4,Male,K,Malaysia,Operations Engineering,I3-ESG,25,1,Yes,56,4,1,BD14,1.363861324,Active
H182915,Regular employee,3,Male,J,Brunei,Operations Engineering,H3-ESG,22,2,Yes,36,3,1,TF03,0.722252098,Active
H184556,Regular employee,4,Male,K,Brunei,Operations Engineering,G3-ESG,19,2,No,39,4,0,BD12,1.239994451,Active
H184560,Regular employee,4,Male,K,Brunei,Operations Engineering,H3-ESG,22,1,No,34,4,0,BD13,0.984896804,Active
H226416,Regular employee,1,Male,G,Malaysia,Operations Engineering,F3-ESG,16,1,Yes,25,2,0,K911,0.622807326,Active
H226231,Regular employee,1,Female,C,Malaysia,Operations Engineering,F3-ESG,16,1,Yes,26,2,1,K919,0.613514497,Active
H190146,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,2,No,37,3,1,DV03,1,Active
H191181,Regular employee,1,Male,G,India,Operations,C1-ESG,4,1,No,28,1,0,PF03,0.93789243,Active
H191203,Regular employee,1,Male,G,India,Operations,C2-ESG,5,1,No,29,2,0,PF04,0.74308838,Active
H191744,Regular employee,1,Male,C,Brunei,Operations,C2-ESG,5,2,No,27,3,1,PC15,1.127414857,Active
H198123,Regular employee,1,Male,B,Brunei,Operations Engineering,F3-ESG,16,2,No,27,3,0,K943,0.43837218,Active
H204053,Regular employee,1,Male,B,Malaysia,Operations Engineering,D2-ESG,8,2,Yes,27,3,0,ZZ18,0.96668874,Active
H204213,Regular employee,2,Male,G,India,Operations,D2-ESG,8,1,No,58,3,2,PF05,1.150902499,Active
H205843,Regular employee,2,Male,B,India,Operations,E2-ESG,11,1,No,34,3,1,ZZ09,0.914329259,Active
H206712,Regular employee,4,Male,H,India,Sales/Marketing,K1-ESG,29,1,No,34,3,1,LG962,1.301309711,Active
H206710,Regular employee,2,Male,K,India,Operations,VPE-ESG,19,1,No,35,3,1,BD10,1,Active
H207248,Regular employee,3,Female,H,Malaysia,Sales/Marketing,J1-ESG,26,1,No,31,2,0,LG942,0.612707113,Active
H208937,Regular employee,1,Male,I,India,Operations Engineering,VPE-ESG,19,2,No,34,2,1,DV04,1,Active
H210579,Regular employee,1,Male,K,India,Operations,VPE-ESG,19,1,No,32,1,1,BD09,1,Active
H211116,Regular employee,1,Male,B,India,Operations,C1-ESG,4,1,No,45,1,1,ZZ03,0.87672499,Active
H211949,Regular employee,1,Male,B,Brunei,Operations,C2-ESG,5,1,No,43,2,0,ZZ04,0.888391267,Active
H212230,Expat-ShortTerm/Dev,4,Male,J,Brunei,Operations,H2-ESG,21,2,Yes,47,2,4,TG11,0.73874399,Active
H214728,Regular employee,1,Male,B,India,Operations Engineering,C2-ESG,5,1,No,30,1,0,ZZ12,0.778487787,Active
H216002,Regular employee,1,Male,B,India,Operations,C1-ESG,4,1,No,30,1,2,ZZ03,1.019447663,Active
H218500,Regular employee,1,Male,B,Brunei,Operations,C2-ESG,5,1,No,47,2,0,ZZ04,0.888391267,Active
H218947,Expat-ShortTerm/Dev,2,Male,C,Malaysia,Operations,F2-ESG,15,1,Yes,41,2,0,PC10,0.685356086,Active
H219531,Regular employee,2,Female,H,India,Consulting,H3-ESG,22,1,No,28,1,0,LG136,0.464197102,Active
H220003,Regular employee,1,Male,G,India,Operations,C1-ESG,4,1,No,27,2,1,PF03,1.028716005,Active
H220256,Regular employee,1,Male,I,India,Operations Engineering,VPE-ESG,19,1,No,38,1,3,MV04,1,Active
H220819,Regular employee,2,Male,B,India,Operations,D2-ESG,8,1,No,37,1,1,ZZ08,0.974816091,Active
H221150,Regular employee,2,Male,H,India,Consulting,H3-ESG,22,1,No,30,1,1,LG136,0.660259299,Active
H221852,Regular employee,1,Male,G,India,Operations,C1-ESG,4,1,No,30,2,1,PF03,0.829089494,Active
H222050,Regular employee,1,Male,D,Malaysia,Operations,C1-ESG,4,1,No,31,2,0,CC03,0.81460195,Active
H223042,Regular employee,2,Male,H,India,Consulting,H3-ESG,22,1,No,37,2,1,LG136,0.994196179,Active
H223659,Regular employee,2,Male,G,India,Operations,D2-ESG,8,1,No,41,2,3,PF05,0.827603525,Active
H223661,Regular employee,2,Male,G,India,Operations,D2-ESG,8,1,No,29,2,0,PF05,0.827603525,Active
H224988,Regular employee,2,Male,C,Malaysia,Operations,D2-ESG,8,1,Yes,31,2,1,PC08,0.774946195,Active
H225759,Regular employee,1,Female,B,India,Operations Engineering,F3-ESG,16,1,No,23,2,0,K943,0.584698409,Active
H226107,Regular employee,1,Female,B,Thailand,Operations Engineering,C2-ESG,5,1,No,25,2,0,ZZ12,0.650291016,Active
H227135,Regular employee,1,Male,B,Thailand,Operations,C1-ESG,4,1,Yes,33,2,3,ZZ03,0.647199937,Active
H227201,Regular employee,1,Male,G,India,Operations,C1-ESG,4,1,No,45,2,3,PF03,0.864492153,Active
H227465,Regular employee,1,Male,G,India,Operations,C1-ESG,4,1,No,34,2,3,PF03,0.829089494,Active
H227532,Regular employee,1,Male,G,India,Operations,C1-ESG,4,1,No,29,2,0,PF03,0.829089494,Active
H227535,Regular employee,2,Male,C,India,Operations Engineering,G3-ESG,19,1,No,29,1,0,K918,0.595279619,Active
H227645,Regular employee,1,Male,G,India,Operations,C2-ESG,5,1,No,41,2,2,PF04,0.736682446,Active
H241078,Regular employee,1,Male,I,Malaysia,Operations Engineering,VPE-ESG,19,1,No,25,1,0,MV05,1,Active
H228052,Regular employee,2,Male,G,India,Operations,D2-ESG,8,1,No,32,2,1,PF08,0.893705435,Active
H228053,Regular employee,1,Male,G,India,Operations,C1-ESG,4,1,No,35,2,2,PF03,0.829089494,Active
H228621,Regular employee,2,Male,B,Thailand,Operations,E2-ESG,11,1,No,32,2,2,ZZ09,1.263917426,Active
H228630,Regular employee,1,Male,D,Malaysia,Operations,C1-ESG,4,1,No,33,0,1,CC03,0.852917634,Active
H229416,Regular employee,1,Male,B,Malaysia,Operations,C1-ESG,4,2,No,29,2,0,ZZ03,0.931386057,Active
H229272,Regular employee,2,Male,C,India,Operations,D2-ESG,8,1,No,47,2,3,PC08,0.89728544,Active
H230571,Regular employee,1,Male,D,Malaysia,Operations,C2-ESG,5,1,No,29,1,1,CC04,0.780928775,Active
H232382,Regular employee,2,Male,C,India,Operations,F2-ESG,15,1,No,30,1,0,PC10,1.186598705,Active
H232392,Regular employee,1,Male,G,India,Operations,C2-ESG,5,1,No,25,1,1,PF04,0.78577372,Active
H232652,Regular employee,1,Male,G,India,Operations,C1-ESG,4,1,No,37,1,3,PF03,0.829089494,Active
H232654,Regular employee,2,Male,G,India,Operations Engineering,H3-ESG,22,1,No,28,1,1,K901,0.8135665,Active
H234471,Regular employee,1,Male,B,Thailand,Operations Engineering,C2-ESG,5,1,No,25,1,0,ZZ12,0.625279823,Active
H234473,Regular employee,1,Male,G,India,Operations,C2-ESG,5,1,No,44,1,4,PF04,0.696297208,Active
H234938,Regular employee,2,Male,B,Malaysia,Operations,D2-ESG,8,1,No,34,1,4,ZZ08,1.074671114,Active
H235013,Regular employee,2,Male,H,Malaysia,Consulting,J2-ESG,27,1,Yes,36,1,2,LG135,1.008416398,Active
H235083,Regular employee,2,Male,A,Brunei,Operations Engineering,LVPE-ESG,20,1,No,28,1,0,L032,1,Active
H236232,Regular employee,1,Male,G,India,Operations,C1-ESG,4,1,No,37,1,1,PF03,0.789609042,Active
H236451,Regular employee,2,Male,C,India,Operations,F2-ESG,15,1,No,30,1,1,PC10,1.023137451,Active
H236733,Regular employee,2,Male,C,India,Operations,D2-ESG,8,1,No,40,1,2,PC05,0.73867015,Active
H237003,Expat-Halco,3,Male,A,Southeast Asia Area Suppt,Sales/Marketing,J3-ESG,28,1,Yes,50,1,3,L043,0.382815609,Active
H237165,Regular employee,2,Male,B,Malaysia,Operations,E2-ESG,11,1,No,30,1,1,ZZ09,1.2812841,Active
H237319,Regular employee,2,Male,B,India,Operations,E2-ESG,11,2,Yes,39,1,2,ZZ09,1.150902499,Active
H237337,Expat-ShortTerm/Dev,1,Male,C,Brunei,Operations Engineering,F3-ESG,16,1,Yes,33,1,0,K919,0.666625883,Active
H237338,Regular employee,1,Male,C,Brunei,Operations Engineering,F3-ESG,16,1,No,29,1,0,K919,0.666625883,Active
H237335,Regular employee,1,Male,C,Brunei,Operations Engineering,F3-ESG,16,1,No,23,1,0,K919,0.666625883,Active
H237336,Regular employee,1,Female,J,Brunei,Operations Engineering,F3-ESG,16,1,No,25,1,0,TF01,0.671574325,Active
H237687,Regular employee,1,Male,I,India,Operations Engineering,VPE-ESG,19,2,No,23,1,0,MV04,1,Active
H237690,Regular employee,1,Male,I,India,Operations Engineering,VPE-ESG,19,2,No,23,1,0,MV04,1,Active
H238400,Regular employee,4,Male,C,Vietnam,Operations,I2-ESG,24,1,No,48,1,1,FF05,1.775458523,Active
H238565,Regular employee,2,Male,G,India,Operations,D2-ESG,8,1,No,52,1,2,PF05,0.7323925,Active
H239052,Regular employee,1,Male,C,Brunei,Operations Engineering,F3-ESG,16,1,No,34,1,0,BC650,0.666802613,Active
H239348,Regular employee,2,Male,C,India,Operations,E2-ESG,11,1,No,41,1,2,PC09,1.021908138,Active
H239512,Regular employee,2,Male,H,India,Sales/Marketing,J1-ESG,26,1,No,36,1,1,LG952,1.086551361,Active
H239584,CommuterOut-Halco,2,Male,C,Brunei,Operations,D2-ESG,8,1,Yes,31,1,0,PH08,0.555387638,Active
H239957,CommuterOut-Halco,2,Male,C,Brunei,Operations,D2-ESG,8,1,Yes,37,1,0,PH08,0.555387638,Active
H240210,Expat-Halco,3,Male,C,Brunei,Sales/Marketing,I3-ESG,25,1,Yes,36,1,0,L041,0.553633218,Active
H240488,Regular employee,3,Male,D,Malaysia,Operations,H2-ESG,21,1,Yes,39,1,5,CC11,1.136529215,Active
H241475,Regular employee,2,Male,G,India,Operations,D2-ESG,8,1,No,47,1,3,PF05,0.7323925,Active
H242461,Regular employee,2,Male,D,Malaysia,Operations Engineering,G3-ESG,19,1,No,31,1,0,K950,0.687606337,Active
H242510,Regular employee,1,Female,G,Brunei,Operations Engineering,F3-ESG,16,1,No,25,1,0,K911,0.668039723,Active
H242511,Regular employee,1,Female,G,Brunei,Operations Engineering,F3-ESG,16,1,No,21,1,0,K911,0.668039723,Active
H243114,Regular employee,1,Male,B,India,Operations,C2-ESG,5,1,No,39,1,1,ZZ04,1.149196258,Active
H243338,Regular employee,1,Female,C,Brunei,Operations Engineering,F3-ESG,16,1,No,26,1,0,BC650,0.666802613,Active
H244108,Regular employee,1,Male,H,India,Consulting,G3-ESG,19,1,No,28,1,0,LG137,0.415820322,Active
H244110,Regular employee,1,Male,H,India,Consulting,G3-ESG,19,1,No,33,1,2,LG137,0.415820322,Active
H244217,Regular employee,1,Male,H,India,Sales/Marketing,I2-ESG,24,1,No,24,1,0,LG951,0.424608104,Active
H244748,CommuterOut-Halco,2,Male,C,Brunei,Operations,E2-ESG,11,1,Yes,43,1,0,PC09,0.807873561,Active
H244889,Regular employee,2,Male,H,India,Consulting,H3-ESG,22,1,No,34,1,3,LG136,0.513059955,Active
H245307,Regular employee,1,Male,C,Brunei,Operations Engineering,F3-ESG,16,1,No,29,1,1,BC650,0.666802613,Active
H245312,Regular employee,1,Male,B,Malaysia,Operations,C2-ESG,5,1,No,31,1,2,ZZ04,1.263638794,Active
H246589,Regular employee,1,Male,B,Malaysia,Operations,C2-ESG,5,1,No,27,0,0,ZZ04,1.263638794,Active
H246766,Regular employee,1,Male,D,Malaysia,Operations Engineering,F3-ESG,16,1,No,31,0,1,K951,0.762669107,Active
H246893,Regular employee,1,Male,B,Malaysia,Operations Engineering,C2-ESG,5,1,No,25,0,0,ZZ12,1.200456854,Active
H246895,Regular employee,1,Male,B,Malaysia,Operations,C2-ESG,5,1,No,35,0,3,ZZ04,1.295229764,Active
H247041,Regular employee,2,Male,B,Malaysia,Operations,E2-ESG,11,1,No,45,0,4,ZZ09,1.082990132,Active
H246985,Regular employee,1,Male,B,India,Operations,C1-ESG,4,1,No,37,0,1,ZZ03,0.93789185,Active
H247362,Regular employee,3,Male,H,Malaysia,Sales/Marketing,J1-ESG,26,1,No,30,0,3,LG942,0.760727847,Active
H247486,Regular employee,1,Male,I,India,Operations Engineering,VPE-ESG,19,1,No,33,0,2,MV05,1,Active
H247548,Regular employee,1,Male,I,India,Operations Engineering,VPE-ESG,19,1,No,41,0,2,DV04,1,Active
H247837,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,1,No,43,0,0,DV03,1,Active
H247814,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,1,No,47,0,2,DV03,1,Active
H248055,Regular employee,1,Female,B,Brunei,Operations Engineering,C2-ESG,5,1,No,28,0,0,ZZ12,0.948309498,Active
H248315,Regular employee,1,Male,D,Malaysia,Operations,C1-ESG,4,1,No,31,0,1,CC03,0.852917634,Active
H248469,Regular employee,1,Male,B,Malaysia,Operations,C1-ESG,4,1,No,32,0,0,ZZ03,0.955267751,Active
H248526,Regular employee,1,Male,B,Malaysia,Operations,C2-ESG,5,1,No,33,0,5,ZZ04,1.263638794,Active
H248603,Regular employee,1,Male,I,India,Operations Engineering,VPE-ESG,19,2,No,58,0,0,DV04,1,Active
HBB2049,CommuterOut-Halco,3,Male,D,Malaysia,Operations,H2-ESG,21,4,Yes,48,22,2,CC11,0.463981812,Active
H023711,Regular employee,4,Male,G,Malaysia,Operations,I2-ESG,24,1,Yes,59,30,3,FF26,1.456706188,Active
BBQL291,Expat-ShortTerm/Dev,3,Male,G,Malaysia,Operations Engineering,J1-ESG,26,2,Yes,48,20,3,PE01,1.414597415,Active
HX41549,Expat-Halco,3,Male,I,Southeast Asia Area Suppt,Sales/Marketing,J3-ESG,28,3,Yes,59,1,1,K056,0.395519043,Active
H226605,Regular employee,2,Male,A,Thailand,Operations Engineering,H3-ESG,22,2,No,43,2,0,LC30,0.947454193,Active
H107258,CommuterOut-Halco,2,Male,B,Thailand,Operations,H3-ESG,22,2,Yes,41,8,0,ZZ11,1.064514965,Active
HBAL672,Regular employee,2,Male,G,Malaysia,Operations Engineering,H2-ESG,21,2,Yes,46,19,3,PS11,1.111685852,Active
HBB0380,Regular employee,4,Male,I,India,Operations,J1-ESG,26,1,No,52,10,1,SP12,1.25738483,Active
HBA5944,Regular employee,2,Male,I,Malaysia,Operations Engineering,VPE-ESG,19,2,No,47,22,3,DV01,1,Active
HBAT484,Regular employee,2,Male,I,Thailand,Operations Engineering,VPE-ESG,19,2,Yes,48,22,2,MV01,1,Active
HBB6799,Regular employee,3,Male,I,Philippines,Sales/Marketing,J3-ESG,28,2,No,54,11,0,K058,2.169724182,Active
HBT5170,Regular employee,2,Male,I,Thailand,Operations Engineering,VPE-ESG,19,2,No,40,18,3,MV01,1,Active
HBB1094,Regular employee,2,Male,I,Malaysia,Operations Engineering,VPE-ESG,19,1,No,54,23,4,DV01,1,Active
HBB8280,Regular employee,4,Female,I,Thailand,Operations Engineering,I3-ESG,25,1,No,44,18,3,K815,0.724068511,Active
HBB8323,Expat-Halco,6,Male,G,Southeast Asia Area Suppt,Operations,K2-ESG,30,2,Yes,40,18,1,R452,0.896761761,Active
HBBC606,Regular employee,2,Male,I,Malaysia,Operations Engineering,VPE-ESG,19,4,Yes,42,17,3,DV02,1,Active
HBT8691,Regular employee,2,Male,A,Thailand,Operations Engineering,LVPE-ESG,20,2,Yes,39,17,0,L031,1,Active
HBT8686,Regular employee,4,Male,A,Thailand,Operations,I2-ESG,24,1,Yes,39,17,3,FF05,1.078658554,Active
HB38810,Expat-Halco,3,Male,B,Brunei,Operations Engineering,I3-ESG,25,2,Yes,40,11,0,K940,0.996881319,Active
HBBE639,Regular employee,4,Female,I,Thailand,Operations Engineering,I3-ESG,25,1,No,44,17,3,K815,0.734207565,Active
